user,text
Logan__Johns,Just picked up a oz lets smoke free blunts for everyone
AzSportsGirl63,The HYPHEN!!
Chr1stChan,#SundayFunday Putting the insulation into the travel trailer! #Workit  
_AsiaJewel,I cant wait to sleep in my own bed!!!!!
AdrielRoman11,"At the #MyHomeGroup Family Day event in #Scottsdale 

#ILOVEMYLIFE #familyfuntime #sundayfunday...  "
AzSportsGirl63,Im on the #BlaineTrain
EvieRosales,@HamdaanKhaled @realDonaldTrump I don't know & I don't care. My point had 2 do w/ the fact that Trump ONLY did this 4 appreciation.
NYLeepack,Migos was so lit  @ Rawhide Western Town & Event Center  
SkyDSimmons,7 years ago today @swiminyodm  
donjone38970700,@MrPuma2072 @mjgranger1 @TRUTH_USA_2016 @theoldsquid @Dogdazetoo @RenoinTexas @Steven31015146 @Jamesf9875...  
PatriciaannaM,"""Holy Ghost goosebumps""  -pastor @DNibbelink on the superficial emotional experience Christians sometimes seek out...  "
QWilliams25,What do yall got to offer besides pussy ?
AZDS_Bashore,They are late because they went to In-n-Out.  
NiqueBlanton,We just saw why Jim Bob Cooter is a solid head coaching candidate for the Bears in 2018
BrennanGerle,"Sweet sweet Jerome. 

#5/7 @ Cellar 433  "
ChuckCasale,From the source. - Drinking a Copper State IPA by @hussbrewingco @ Huss Brewing Company    
pinputlistings,"$335,000 9415 E Poinsettia Drive, #Scottsdale, #AZ - Delightful home... #ARIZONA #realEstate    "
JasonPSkoda,Villarreal and Zanetta tied at 2 after two periods. @ncaawrestling @ASUWrestling vs. Pitt @InterMat @jasonmbryant...  
HulenHannahh,"I should be doing homework, but Im currently talking to Apple support "
emmacalveri,"Hi, high Emma. Bc I'm annoying, just wondering:"
sithlordadrian,"""Everything felt fine when your head was resting next to mine."""
Alexaakayy,@AddisonMoffett is dancing for @selenagomez tonight & I am freaking out
rock_n_roll_kid,J coles songs sound like mayonnaise
Lclementi2,Thank you! @ Clementi Real Estate Consultants  
lovewaaygirl,all these fake peep fans gotta go
FrankAlmora,Pero q rico tu estas muaaaa  
amstultz,Going to hang out with my family... aka mentally preparing myself to be told I'm a fat ugly asshole buy some fat ugly assholes 
MrAudeOdeh,From being down by 10 to being up at half @Lions #OnePride 
_jherb_,Odell the only straight guy to flex on a gay guy.  
JuiceBeHoopin,Fuck this nigga up Og @Lavarbigballer  
ahumorlessfem,@jonathaneugster @EdieJarolim @tomwatson Which means that your solution is what?  That a woman should never be allowed to run for office?
tmj_phx_sales,"Want to work at Desert Mountain Medical? We're #hiring in #Phoenix, AZ! Click for details:    "
drrickaz,!!ALERT!! Tomorrow is the day. Dont miss out. Its Brown Monday TOMORROW NOVEMBER 20th. Buy...  
bluewings442,"Libs can only see one side of any issue.... theirs, conservatives tend to see both sides of issues, I can remember...  "
Raiderella,Im getting excited for this game 
smdl2,"We all shucks,  seems like I need to buy one. Might explain a few things.  "
unclewilllie,Look at that man!!!!!!  
WhoTFisJam,Would i be trippin if i dm all ya friends
FangFan62,@RoseAnnDeMoro @JohnBarrowman Single payer medical is the ONLY humane thing to do. Sentencing people like this woma...  
AdrielRoman11,"At the #MyHomeGroup Family Day event in #Scottsdale 

#ILOVEMYLIFE #familyfuntime #sundayfunday...  "
Malbaqshi96,       !!   ....
Arend_Sheree91,Did anyone else see the guy who high fived Dale? He was like a little kid jumping up and down after it happened
itsdaveslick,I may actually attempt some form of relaxation today #tiredaf
guyknoller1,"You are either an idiot or a liar, and because youre in the GOP it could be both  "
FalseDeadeye,"Why cant people just be real with each other anymore?Its so bad you dont know whos lying about who,to who,anymore.Its sheer fuckery."
GGraysonC13,@AnthonyR09 @justcatchup_  
TotalTrafficPHX,Accident in #Phoenix on Camelback Rd at 18th St #PHXtraffic  
StirlingRoss2,"@theHughHunter We can commiserate as this happens in just about any industry, profession or career. Not a comfortab...  "
madiisendiiaz,"wait what shirt did you wear last night?
this one"
unclewilllie,I HAD TO!!!!  
Hwuduin58Regina,@realDonaldTrump what about the picture of a 13 year old on your lap and the others ypu raped! your day is coming
mzemek,"Rest in peace, Pancho Segura."
TheButteryOne,"@35242_yahoo @realDonaldTrump What happened to that ""pull yourself up by your own bootstraps"" line?  Now it's every...  "
