,text,sentiment_value
0,"Politicians and activists taking advantage of an event that leans in their favor to push their agenda? Whoa, what a...  ",pos
1, : I knew this shit was gonna come back to haunt these dudes. They all of a sudden were cool with me after my glow up... ,neg
2, YASSS It's time for #liveme's show debbie (TB)(2h4l)     ,neu
3,How do you not have a crush on someone? Asking for a friend,pos
4," :   Ive known you for a few years now, and I have no question that your heart is in the right place.... ",neg
5, : A reminder that at least 15 women have accused Donald Trump on the record of unwanted physical contact. Listen for... ,neg
6," : Thought I'd never say it but it's time.
EXHUME JFK. Ask his corpse what was *really* going on when Marilyn cooed ""... ",neg
7,Choose Life Ministry was founded to establish a place for young women between the ages of 18 and 29 to find...  ,neu
8," : [MAMA #ARMYCloseTheGap] 10:30AM KST

#1 Song of The Year: +12 
#2 Best Dance Perf: -1.200M [+8K]
#2 Best Music Vide... ",pos
9, : yes maam  ,pos
10,COA chides 2 Bohol LGUs over P30M in unused development funds | via    ,neu
11," : muslim ban, charlotteville, immigration, NFL, north korea south korea marilyn monroe - we didnt start the fireee-  ",neg
12,  Thats what its looking like! Kind of scared of the JuJu/ AB matchup against New Englands D,neg
13,       Listen to me when I say...The Eagles are about to score a quick touchdown and...  ,neu
14,  Samuel L. Jackson or Morgan Freeman,pos
15," : They DID NOT steal from me. They told me they were fans of my work and felt inspired by my original rap, then recit... ",pos
16," :  RT RT RT
This tweet NEVER gets Old
""Because you'd be in Jail!""

Please  #LockHerUp #LockThemUp  ",pos
17," : Those who feel 24 hours is too short for a day, this is what   has to say..it's a good read   ",pos
18,      You are literally triggered by an emoji.. Plus who are you to identify and all...  ,neu
19," : Dear #Republicans,

 Zimbabwe's ruling party is removing its autocratic leader and telling him to resign or face im... ",pos
20," : ur only 19? omg ur such a baby

k bitch these last 19 years have been a dickslapp in the face its impressive i... ",neg
21,"      Yeah well, you look like a dog.... an ugly one at that",pos
22," : This pastor and his congregation are supporting a predator & making up baseless, ludicrous claims about women. Th... ",pos
23,"Let's build #Healthy #Community!

#JoyTrain #SuccessTRAIN #Joy #Success #MondayMotivation Thank you, Ken!  ",pos
24,IMSO HAPPY  ,pos
25,the big homie turn my van into a truck I've been seeing  scrap all over the place folks even been trying to call...  ,neu
26,  This is just sad.  Why would a Christian not believe that people are inherently evil and they must repent...  ,neg
27,Woman in front of me has a license plate that says BEWARBTCH...I aint following her anymore,neu
28,  Yes wasting billions of dollars on a stupid useless wall. What is that suppose to solve?  Sounds l...  ,neg
29,  : I know Im a terrible person but I dont care about him being in the hospital,neg
30,"Exactly. Again, trump only trying to benefit him and his family. So transparent.  ",pos
31, :         And still 23 days to the special election on Dec. 12th.... ,pos
32," : Trans model, Valentijn De Hingh, wears a couture dress made from flags of countries that ban homosexuality.  ",neg
33,4 people followed me and 3 people unfollowed me // automatically checked by  ,neu
34," : This reads like a great spy novel.  And it's fascinating! 
""There were many ambitious real estate developers in the... ",pos
35, : A song that will bump forever -> love me - lil Wayne,pos
36,    Yeah but McCoy has to be a nightmare scenario. The only way that happens is if they thi...  ,pos
37, : If you gone take her video at least give us a @  ,neu
38," : me: ew a roach 
roach: ew a fat bitch 
me:  ",neg
39, : A day without Roger Stone's tweets is like a day without Sunshine #restoreRogerStone,neg
40, : Even mother nature excited about Incredibles 2 we all been waiting too long  ,pos
41,"A unified deep artificial neural network approach to partial differential equations in complex geometries. (arXiv:17
 ",pos
42," : BTS, the first to stand and applaud pt 2  #BTSxAMAs  ",pos
43," : [INFO] BTS will be the 16th performer out of a total of 17 teams, performing right before the finale 
#... ",neu
44,"  Yeah, I remember that episode. I'd love if we got another scene like that with the whole team together,...  ",pos
45," : What. A. Goal...

Wow 

(  )

 ",pos
46,"today's stats : 32 new followers, 4 new unfollowers, 643 non-followers. found via  ",neu
47,"#Check
Slowly but Surely Mining
Every kind of #Currency here  
Bitcoin Cloud Mining  ",pos
48," : 2 0 0 0       A C C O U N T       G I V E A W A Y

Nike Verified Accounts will restock in time for Off Whites and... ",neu
49,Dak gets hit in the face out of bounds in front of 2 officials. Dez gets shoved in the endzone.... hmm is rodger trying to send a message,neu
50," : Former state Sen. Ralph Shortey, a Republican, had been accused of offering to pay a 17-year-old boy for sexual ""st... ",neg
51, :   An epic fail. She LIP-SYNCED her ENTIRE performance. If bitch couldnt sing then she should have pulled a...,neg
52,"today's stats : 4 new followers, 1 new unfollower, 34 non-followers. found via  ",neu
53, : They arent pretending anymore. They want you to know they are laughing at the middle and working classes and takin... ,pos
54, : AMAs LIVESTREAM RT TO SAVE A LIFE   ,pos
55,"  I mean it DOES sound like a throwaway track from The Traveling Wilburys, which at its core, was a bunch of dads jamming.",pos
56,I cleared the schedule so you know thats a go,pos
57," :  If you're a nazi and you're fired,
it's your fault!


If you're a nazi and you're fired,
it's your fault!


I... ",neg
58," : shawns performance was a 10/10, would highly recommend",pos
59, : The official limited edition #BTSxAMAs pins and patches commercial at the #AMAs! We will be GIVING AWAY 2 on our so... ,pos
60,Woah   ,neu
61,    hes my favorite player in the entire league right now.. was really hoping my raps would trade k-low for him,pos
62, : ok. Its time to get me a man & get in my bag. ok,pos
63," : [YBROCKS] 171120

YB Yoon Dohyun shared photo of  #SOUTHCLUB1stConcert 

#Southclub First Concert!! It has develop... ",pos
64, : Justice League had a nostalgic opening.  ,pos
65," : Just Developed Neuro Cyan ""Limitless"" Pill  Will Go Public In Less Than 24 Hours 
   ",neu
66,My week on Twitter : 4 Tweets. See yours with    ,neu
67, : i was such a fool 4 believing that u could change all the ways u've been living,neg
68, : he looks like a kid in english class senior year who mastered the art of bullshitting and hasn't read a single page... ,pos
69," : #RAW - 2
#SDLive - 2

What a victory for The  ! #SurvivorSeries  ",neu
70,    Shes a racist with no more credibility than an ant; small potatoes.,neg
71,"'No plans' to shut power plants: Qld Labor (AAP) 
 ",neg
72, : Can we talk about what a huge difference meaningful questions rather than one word answer questions can make in BTS... ,pos
73, : a break from the world.,neu
74," : Have you ever had a breakup without even dating? 

Lmfaooooooooooooooooo that shit hurts like a motherfucker lowkey",neg
75, : Stop trying to impress people who dont give a fuck about you,pos
76,I posted a new video to Facebook  ,neu
77," : [MAMA #ARMYCloseTheGap] 10:30AM KST

#1 Song of The Year: +12 
#2 Best Dance Perf: -1.200M [+8K]
#2 Best Music Vide... ",pos
78,  Channel Chasers and Jimmy Timmy Power Hour was a hard choice ,neg
79, : How fast i move on from a relationship  ,neu
80,    I remember that Pick 6 I believe in 02 versus the Texans when bengals finished 2-14  ,neu
81,                  isn't it bad...  ,neu
82, : The number of people living with Alzheimers is expected to skyrocket in low- and middle-income countries. This is... ,neg
83, : This was a poorly thought out tweet  ,neu
84," : We are exactly 23 days away from the Alabama Senate Election.

Roy Moore can NOT win.  A Moore Victory would be a v... ",pos
85, : DISPATCH posted a photo of BTS  ,neu
86,"Happy happy birthday,    I hope you have a great day & wonderful break!",pos
87, : Im never texting back a white girl ever again  ,neu
88," : listen,   is not only here to perform, but also here spread message of the #ENDviolence #LOVEYOURSELF partne... ",neu
89," : When u correct an erotic text in English for a friend, and understood new words-",pos
90,  That's where the A button would be on an SNES controller so that makes sense to me actually.,neu
91, : shawn mendes lookin like a whole snack tonight at the #AMAs  ,pos
92," : According to  , we're about to enter a #cybersecurity #AI arms race...    ",neu
93,dont matter what she said no nigga need to put they hands on a female especially if she aint touch him.... image...  ,neg
94," : See Oprah, Reese Witherspoon and Mindy Kaling as celestial beings in Disney's trailer for 'A Wrinkle in Time'  ",neu
95,"  That would be awesome, and will probably happen ! Lol. But this is only season 2.",pos
96," : Eagles blitzing like mad. Dak went to his ""hot"" read - Dez on the fade. He just wasn't open. Darby ran the route be... ",neg
97, :   Have a nice day za! ,pos
98,I'd call the police if I found a naked violated corpse.,neg
99,I liked a   video   THE $100 CLIP!,pos
100, : These three Ohio pastors did the imaginable. They were charged with conspiracy to set up child trafficking ring. Th... ,neg
101," : #DDoS attacks are on the rise globally, with 21 million attacks directed at 6.34 million unique IP addresses over a... ",neg
102, : AMAs LIVESTREAM RT TO SAVE A LIFE   ,pos
103," : cameron dallas always shows how much he loves us, he's amazing and I honestly couldn't ask for a better idol",pos
104,#MerryChristmas! I just entered to win a Merry Christmas Female XL Shirt by    #OpinionReaction   #giveaway,pos
105," : 3. the wire
2. the sopranos
1. this two-minute clip of nathan for you  ",neu
106," : Bucs' loss at Arizona isn't aging well. Cardinals are now 4-6 -- they scored 38 vs. Bucs, but haven't scored more t... ",neg
107, : Rt if u need a Rt,neu
108,    No way! Could be a sweet magical realism romance ,pos
109, : he literally just has a bag of snacks  ,neu
110, : dont call yourself a fan of musical theatre if you dont know what musical this is  ,neg
111," : Re-post cause I had to fix the lineart...
IT'S NOT a Fanart, because I'm not your fan. I don't like you.... ",neg
112, : Wish I wasnt such a fuck up,pos
113,#ad Vintage Braniff Airlines Boeing 727 Key Fob  ,neu
114, : Come up with a name for our band...  ,neu
115, : 2 loosers #undermycommand #cleaningmydirtyheels #mysrvnt #shoecleanr #rightplcundermyheels #njyn #goodnight all pup... ,neu
116,Greys Anatomy is such a great show why am i only starting it now,pos
117," :     I, we, millions of us are so damned freaking SICK of this co-called Bernie wing of our Par... ",neg
118, : Win a custom Skyrim Nintendo Switch OR PS4 Pro! RT this post and tell us what platform you'd like to play Skyrim on... ,pos
119,What do I see? I see a world at war with Africa and Africans. But the Mass of the world as well as Africans seem ob...  ,neg
120," : In Trump's America, a black guy who shoplifts should be locked up in a Chinese prison, but a white guy who sexually... ",neg
121, : UPDATE: The massive search continues for Rahmael Sal Holt wanted for the murder of New Kensington police officer Br... ,neg
122,The weekend is over and I just wanna relive Thursday night. Hands down the most fun I've had in a long time,pos
123, : MU defense has forced 34 punts the last 5 games after forcing 11 punts the 4 games before that,neg
124,"  And if you dont have a sword, sell your cloak and buy one",neu
125, : French Toast is the one thing Im okay with white people turning into a casserole  ,pos
126," : No, there hasnt been a human 'head transplant', and there may never be   
I keep getting ask... ",neg
127, : Pls god protect our USA president Christina Aguilera she is a legend who deserves all the success send ur angels to... ,pos
128," : The heifer Ann Coulter is describing a woman who represented America and medaled in the Olympics. You're pathetic,... ",neu
129,"    Be jealous homie, I eat that shit up!  You mad you cant grow a beard, little fella?? Its...  ",neg
130," :  Free GIVEAWAY  1 winner announced TONIGHT at 11PM 

RT, Comment & Follow to Enter

4 Packs of Topps Garbage Pail... ",pos
131, : he literally just has a bag of snacks  ,neu
132, : every hood deserves a book store. every. single. one.,neu
133," : The Bills have now allowed over 100 points in their last 2 games.

The Jaguars have allowed 97 points in their last 8 games.",neu
134," : BTS will perform 16th among 17 performers. It is just before the finale which is a rare case.

-Dispatch article... ",neu
135,  Pure Blue Glass Hookah Beaker Bong Bubbler Water Pipe Bent Neck Handmade Gift,pos
136,Im voting for   for New Artist of the Year presented by T-Mobile at the #AMAs 2,neu
137,"Surprise, theres 2! Benelli & Bucky came home today   ",pos
138,That was a lit af performance by   ,neu
139," : HOPE 4 NIGERIA.
I bless God for what we witnessed in anambra today. I praise PMB 4 his humility& restraints.God bless Niger...",pos
140,"  I smell a blood on the streets buy property strategy with is bad, counterproductive, antisocial and dange...  ",neg
141,Enter for a chance get Ultra Boost 2.0 'Louisville Cardinals'. #GOATBLACKFRIDAY    ,pos
142,"  Do you truly believe a guy that played in multiple NFC championship games, a Super Bowl & is undefeat...  ",pos
143, : My heart is breaking. My beautiful 16-year-old niece Kira has inoperable brain cancer. Costs for her care are stagg... ,pos
144," : Enter our sweepstake; Share, like, tweet, retweet, to win a Cressi diving-mask
  #climatechange 
#clean...",pos
